id,KDRatioAttitude,headshotAttitude,damagePerRoundAttitude,assistsPerRoundAttitude,impactAttitude,kastAttitude,openingKillRatioAttitude,rating3mAttitude,ratingVStop5Attitude,ratingVStop10Attitude,ratingVStop20Attitude,ratingVStop30Attitude,ratingVStop50Attitude,totalKillsAttitude,mapsPlayedAttitude,rankingDifference,winner
1,1.038,1.042,1.047,1.327,1.072,1.089,1.433,1.086,0,0,0,0,0,0.582,0.585,-29,1
2,0.955,0.975,0.993,1.014,0.956,1.014,1.082,0.985,0,0,0,0,0,1.367,1.081,52,0
3,1.516,0.877,1.181,1.415,1.384,1.235,0,1.423,0,0,0,0,0,0.805,0.622,29,0
4,1.035,0.992,1.119,1.562,1.041,1.223,0.849,1.081,0,0,0,0,0.945,1.04,1.128,43,1
5,0.963,0.821,1.058,1.059,1.097,0.97,1.009,1.008,0,1.025,1,0.996,1.008,1.5,1.444,4,0
6,1.038,0.819,1.096,0.921,1.212,1.013,0,1.061,0,1.004,1.061,1.058,1.061,1.37,1.228,4,1
7,1.065,0.82,1.03,1.362,1.209,1.047,1.733,1.087,0,1.087,1.114,1.109,1.076,1.583,1.444,4,0
8,0.921,0.989,0.944,0.94,0.908,0.986,0.853,0.938,0,0,0,0.883,0.901,0.218,0.229,-18,1
9,1.007,1.01,0.984,1.167,0.967,1.026,0.891,1,0,0,0,1.127,1.103,0.757,0.778,-7,0
10,1.625,1.303,1.32,1.167,1.42,1.374,0.864,1.463,0,0,0,1.485,1.513,9.694,9.286,80,0
11,0.893,1.032,0.96,0.903,0.908,0.949,0.836,0.918,0.706,0.788,0.943,0.929,0.929,0.698,0.789,12,0
12,0.991,1.005,0.927,0.829,0.945,1.015,0.808,0.982,0.976,1.005,0.937,0.933,0.935,2.038,2.226,12,1
13,0.878,0.938,0.901,0.897,0.9,0.966,0.872,0.919,1.092,0.949,0.931,0.945,0.945,0.688,0.778,12,0
14,0.74,0.711,0.772,0.935,0.76,0.779,0.672,0.753,0,0,0,0.578,0.747,1.013,1,-19,0
15,1.11,0.85,0.912,0.871,1.036,0.885,1.154,1.017,0,0,0,0.821,0.94,1.777,1.477,-20,1
16,0.876,1.159,1.003,1.129,1.011,0.988,0.943,0.952,0,0,1.248,1.036,0.969,1.211,1.25,-6,1
17,1.079,0.873,1.055,1.077,1.079,1.007,1.049,1.061,0,0,0,0,1.211,1.244,0.978,5,0
18,0.855,0.938,0.914,0.873,0.855,0.979,0.766,0.893,0,0,0,0,0.914,0.332,0.352,5,1
19,0.864,1.07,0.968,1.161,0.976,0.92,0.823,0.903,0,0,0,0,0.81,0.37,0.427,5,1
20,0.955,1.147,0.963,0.886,0.908,0.982,0.969,0.951,0,0,0.802,0.882,0.923,0.817,0.857,-3,1
21,1.263,0.953,1.083,1.015,1.162,1.076,1.41,1.155,0,0,1.495,1.156,1.184,2.456,2.083,4,1
22,1.336,1.17,1.221,1.26,1.187,1.334,1.147,1.288,0,0,0,1.134,1.165,0.778,0.769,12,0
23,1.192,0.954,1.062,1.078,1.122,1.06,1.298,1.13,0,0,0,0,0.998,1.072,0.941,-5,0
24,0.906,0.924,0.927,0.932,0.887,0.936,0.739,0.907,0,0,0,0,0.711,1.003,1.2,-5,1
